City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Sargatskoye,RU,2021-07-11 10:39:49,55.6101,73.4972,82.33,32,52,5.01
196,Severo-Kurilsk,RU,2021-07-11 10:32:14,50.6789,156.125,51.84,95,100,7.16
197,Agua Verde,MX,2021-07-11 10:39:49,22.9,-106.05,82.04,79,79,3.85
198,Kununurra,AU,2021-07-11 10:39:49,-15.7667,128.7333,71.58,49,100,0.0
199,Amreli,IN,2021-07-11 10:39:50,21.6167,71.2333,89.17,58,100,17.34
200,Namatanai,PG,2021-07-11 10:33:49,-3.6667,152.4333,79.48,80,22,8.43
201,Manggar,ID,2021-07-11 10:32:00,-2.8833,108.2667,79.95,85,58,6.42
202,Vardo,NO,2021-07-11 10:37:54,70.3705,31.1107,50.2,74,14,7.16
203,Denpasar,ID,2021-07-11 10:39:28,-8.65,115.2167,82.06,83,20,13.8
204,Buraydah,SA,2021-07-11 10:37:31,26.326,43.975,113.45,5,10,3.67
205,Rawson,AR,2021-07-11 10:31:43,-43.3002,-65.1023,46.78,61,100,8.9
206,Kokopo,PG,2021-07-11 10:32:22,-4.352,152.2633,78.12,82,17,8.39
207,Sioux Lookout,CA,2021-07-11 10:33:25,50.1001,-91.917,66.58,88,90,4.61
208,Barreirinhas,BR,2021-07-11 10:39:50,-2.7469,-42.8264,77.14,89,91,8.59
209,Sterling,US,2021-07-11 10:34:52,39.0062,-77.4286,73.6,89,90,3.44
210,Bereda,ES,2021-07-11 10:32:07,43.2686,-7.5406,64.15,44,18,2.95
211,Quatre Cocos,MU,2021-07-11 10:33:41,-20.2078,57.7625,77.11,62,48,18.43
212,Bud,US,2021-07-11 10:39:51,39.447,-86.1758,69.89,99,100,5.21
213,Katsuura,JP,2021-07-11 10:33:14,35.1333,140.3,77.11,91,4,12.88
214,Turayf,SA,2021-07-11 10:39:51,31.6725,38.6637,98.85,20,0,4.61
215,Izhma,RU,2021-07-11 10:39:51,65.0083,53.9113,69.84,46,37,10.4
216,Carnarvon,AU,2021-07-11 10:33:10,-24.8667,113.6333,68.07,59,13,9.22
217,Waipawa,NZ,2021-07-11 10:37:46,-41.4122,175.5153,45.23,76,98,2.55
