City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Port Hardy,CA,50.6996,-127.4199,51.98,93,75,4.61,broken clouds
226,Clyde River,CA,70.4692,-68.5914,43.03,81,75,4.61,broken clouds
227,Tiarei,PF,-17.5333,-149.3333,73.42,82,24,24.45,light rain
228,Belmonte,BR,-15.8631,-38.8828,73.9,67,0,8.28,clear sky
229,Mumford,GH,5.2618,-0.759,78.03,73,100,12.57,overcast clouds
230,Bumba,CD,2.1833,22.4667,86.74,49,59,5.32,broken clouds
231,Namatanai,PG,-3.6667,152.4333,79.02,81,24,7.47,light rain
232,Satka,RU,55.0425,59.04,59.65,88,100,5.21,overcast clouds
233,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,94,75,2.24,broken clouds
234,Bambous Virieux,MU,-20.3428,57.7575,73.65,68,40,16.11,scattered clouds
235,Beloha,MG,-25.1667,45.05,78.67,36,0,8.46,clear sky
236,Matagami,CA,49.7502,-77.6328,59.11,94,40,5.75,scattered clouds
237,Manggar,ID,-2.8833,108.2667,79.81,83,76,5.26,broken clouds
238,Dawei,MM,14.0833,98.2,77.05,90,100,2.62,heavy intensity rain
239,Bara,NG,10.3744,10.7288,94.01,40,100,9.53,overcast clouds
240,Rocha,UY,-34.4833,-54.3333,49.8,53,0,4.12,clear sky
241,Bosaso,SO,11.2842,49.1816,93.18,62,0,10.36,clear sky
242,Arlington,US,32.7357,-97.1081,76.82,82,40,9.22,scattered clouds
243,Tiksi,RU,71.6872,128.8694,38.17,67,66,9.93,broken clouds
244,Pangody,RU,65.85,74.4859,62.47,41,22,12.41,few clouds
245,Vila Velha,BR,-20.3297,-40.2925,74.97,62,20,5.75,few clouds
246,Cheremnoye,RU,53.1697,83.2133,73.99,85,97,1.63,light rain
247,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,48,0,5.75,clear sky
248,Bilibino,RU,68.0546,166.4372,65.82,70,60,2.28,broken clouds
249,Sao Sebastiao Do Paraiso,BR,-20.9169,-46.9914,68.27,33,0,6.22,clear sky
250,Santa Cruz,BO,-17.8,-63.1667,75.25,78,75,5.75,broken clouds
251,Sovetskiy,RU,61.3614,63.5842,67.35,29,8,6.29,clear sky
252,Matara,LK,5.9485,80.5353,78.8,86,100,15.17,moderate rain
253,Ravar,IR,31.2656,56.8055,104.18,6,0,11.9,clear sky
254,Bengkulu,ID,-3.8004,102.2655,78.39,87,100,5.01,overcast clouds
255,Asau,RO,46.4333,26.4,80.96,49,4,7.87,clear sky
256,Flin Flon,CA,54.7682,-101.865,73.24,64,40,8.05,smoke
257,Mayo,US,38.8876,-76.5119,80.37,81,40,5.01,scattered clouds
258,Yurimaguas,PE,-5.9,-76.0833,72.75,94,58,1.12,broken clouds
259,Oga,IT,46.4631,10.347,70.68,57,89,3.31,overcast clouds
260,Murray,US,40.6669,-111.888,81.75,31,1,8.99,smoke
261,Grand-Bourg,GP,15.8835,-61.3148,85.05,82,32,22.17,scattered clouds
262,Uppsala,SE,60.0,17.75,76.57,57,4,13.8,clear sky
263,Ustyuzhna,RU,58.8394,36.4321,85.48,32,0,3.44,clear sky
264,Kumano,JP,34.3442,132.5894,78.17,95,96,3.67,overcast clouds
265,Porto Novo,BJ,6.4965,2.6036,81.88,65,98,12.15,overcast clouds
266,Korla,CN,41.7597,86.1469,96.28,16,1,12.12,clear sky
267,Kudahuvadhoo,MV,2.6708,72.8944,82.36,75,95,11.56,overcast clouds
268,Adoni,IN,15.6333,77.2833,74.64,91,100,13.24,moderate rain
269,Copiapo,CL,-27.3667,-70.3333,49.69,59,100,1.86,overcast clouds
270,Tateyama,JP,34.9833,139.8667,76.01,91,0,10.85,clear sky
271,Wajir,KE,1.7471,40.0573,87.76,40,75,5.75,broken clouds
272,Muisne,EC,0.6,-80.0333,75.51,82,89,8.19,overcast clouds
273,Saint George,US,37.1041,-113.5841,90.19,18,1,1.01,clear sky
274,Chenghai,CN,23.4632,116.768,85.91,74,20,6.71,few clouds
275,Luderitz,NA,-26.6481,15.1594,65.28,50,5,8.81,clear sky
276,Conde,BR,-7.2597,-34.9075,80.06,83,40,11.5,scattered clouds
277,Birjand,IR,32.8663,59.2211,102.67,5,0,13.8,clear sky
278,Lasa,IT,46.6166,10.7002,76.08,54,61,0.92,broken clouds
279,Hervey Bay,AU,-25.2986,152.8535,60.03,86,6,3.0,light rain
280,Begunitsy,RU,59.5855,29.3176,91.69,38,3,7.65,clear sky
281,Suzano,BR,-23.5425,-46.3108,67.35,42,0,3.94,clear sky
282,San Patricio,US,28.017,-97.5169,82.49,92,99,9.28,overcast clouds
283,Mindelo,CV,16.8901,-24.9804,78.35,57,75,12.66,broken clouds
284,Shimabara,JP,32.7833,130.3667,78.67,88,100,6.24,overcast clouds
285,Lala,PH,7.9745,123.7458,76.26,95,100,1.66,moderate rain
286,Terre Haute,US,39.4667,-87.4139,70.97,94,100,3.33,overcast clouds
287,Catamarca,AR,-28.4696,-65.7852,58.64,76,100,1.01,overcast clouds
288,Isangel,VU,-19.55,169.2667,73.09,75,99,1.05,overcast clouds
289,Francistown,BW,-21.17,27.5079,75.0,13,0,9.62,clear sky
290,Te Anau,NZ,-45.4167,167.7167,31.64,94,43,0.83,scattered clouds
291,Port Lincoln,AU,-34.7333,135.8667,56.86,77,80,14.67,broken clouds
292,Toora-Khem,RU,52.4675,96.11,66.47,60,98,1.88,overcast clouds
293,Alofi,NU,-19.0595,-169.9187,75.09,94,13,5.75,few clouds
